Year,UniqueCarrier,CarrierName,TotalAircrafts,TotalFlightsPerCraft,TotalFlights,TotalDistance,TotalAirTimePerCraft,DaysFlownPerCraft,AvgAirTimePerDay,AvgFlightsPerDay,TotalAirTime,cancelled,Month
2005,TZ,ATA Airlines d/b/a ATA,498,703.24,43601.00,47136451,118020.11,187.18,629.70,3.61,7317247.00,0,Total
2005,TZ,ATA Airlines d/b/a ATA,198,10.37,508.00,420024,0.00,7.14,0.00,1.45,0.00,1,Total
2005,OO,SkyWest Airlines Inc.,2709,2064.29,507815.00,192420500,165142.89,310.54,529.81,6.65,40625151.00,0,Total
2005,OO,SkyWest Airlines Inc.,17,1606.50,9639.00,3153443,0.00,61.67,0.00,18.91,0.00,1,Total
2005,OH,Comair Inc.,2019,2044.02,369967.00,165757874,187439.65,322.27,579.75,6.33,33926576.00,0,Total
2005,OH,Comair Inc.,1607,63.52,11370.00,5014673,0.00,23.04,0.00,1.87,0.00,1,Total
2005,NW,Northwest Airlines Inc.,4391,1199.73,473895.00,361111221,157771.70,300.59,525.40,3.90,62319821.00,0,Total
2005,NW,Northwest Airlines Inc.,2316,18.90,6937.00,3932930,0.00,12.54,0.00,1.52,0.00,1,Total
2005,MQ,Envoy Air,3037,1922.71,515286.00,204624668,167356.93,322.55,516.94,5.95,44851657.00,0,Total
2005,MQ,Envoy Air,12,16746.00,16746.00,6434897,0.00,364.00,0.00,45.77,0.00,1,Total
2005,HP,America West Airlines Inc.,1680,1320.04,195366.00,198146076,210167.50,324.95,642.22,4.06,31104790.00,0,Total
2005,HP,America West Airlines Inc.,856,16.58,2487.00,2227749,0.00,10.01,0.00,1.72,0.00,1,Total
2005,HA,Hawaiian Airlines Inc.,300,1924.56,48114.00,28619742,176245.80,325.76,536.64,6.08,4406145.00,0,Total
2005,HA,Hawaiian Airlines Inc.,11,69.00,69.00,23057,0.00,38.00,0.00,1.70,0.00,1,Total
2005,FL,AirTran Airways Corporation,1161,1803.21,192944.00,126128472,211955.52,322.89,656.19,5.57,22679241.00,0,Total
2005,FL,AirTran Airways Corporation,708,23.54,2448.00,1397573,0.00,13.07,0.00,1.78,0.00,1,Total
2005,F9,Frontier Airlines Inc.,388,1083.27,53080.00,48408881,154994.06,231.67,666.62,4.65,7594709.00,0,Total
2005,F9,Frontier Airlines Inc.,80,4.17,175.00,153548,0.00,2.43,0.00,1.74,0.00,1,Total
2005,EV,ExpressJet Airlines Inc.,1790,1615.26,290747.00,133469514,148371.58,278.13,529.79,5.78,26706885.00,0,Total
2005,EV,ExpressJet Airlines Inc.,1620,78.53,13900.00,5781210,0.00,37.92,0.00,2.05,0.00,1,Total
2005,DL,Delta Air Lines Inc.,6164,1201.82,640571.00,553082638,172142.33,298.46,544.24,3.80,91751860.00,0,Total
2005,DL,Delta Air Lines Inc.,3989,34.23,17731.00,11185532,0.00,22.81,0.00,1.45,0.00,1,Total
2005,DH,Independence Air,873,1406.47,133615.00,59603445,132911.02,250.72,523.66,5.57,12626547.00,0,Total
2005,DH,Independence Air,559,21.15,2877.00,1068175,0.00,11.41,0.00,1.70,0.00,1,Total
2005,CO,Continental Air Lines Inc.,3973,835.01,293922.00,331673562,149401.68,284.99,511.48,2.79,52589390.00,0,Total
2005,CO,Continental Air Lines Inc.,12,2739.00,2739.00,2462817,0.00,216.00,0.00,11.38,0.00,1,Total
2005,B6,JetBlue Airways,950,1184.54,110162.00,149668151,241492.48,289.41,825.11,4.06,22458801.00,0,Total
2005,B6,JetBlue Airways,19,98.67,888.00,1089981,0.00,7.89,0.00,8.12,0.00,1,Total
2005,AS,Alaska Airlines Inc.,1296,1400.63,155470.00,136050026,195643.34,316.83,612.18,4.45,21716411.00,0,Total
2005,AS,Alaska Airlines Inc.,12,2630.00,2630.00,1981138,0.00,341.00,0.00,7.61,0.00,1,Total
2005,AA,American Airlines Inc.,8445,934.95,663817.00,713366725,156423.78,285.99,521.55,3.05,111060887.00,0,Total
2005,AA,American Airlines Inc.,12,9752.00,9752.00,9485549,0.00,351.00,0.00,27.40,0.00,1,Total
2006,YV,Mesa Airlines Inc.,1683,1856.73,295220.00,120650572,165314.25,297.23,553.84,6.23,26284966.00,0,Total
2006,YV,Mesa Airlines Inc.,1408,60.79,9544.00,3470598,0.00,30.94,0.00,1.92,0.00,1,Total
2006,XE,ExpressJet Airlines Inc.,3268,1575.74,431754.00,231948162,172456.17,344.67,499.44,4.56,47252991.00,0,Total
2006,XE,ExpressJet Airlines Inc.,12,9716.00,9716.00,4302105,0.00,296.00,0.00,32.23,0.00,1,Total
2006,WN,Southwest Airlines Co.,5527,2266.88,1090370.00,678716767,234585.52,338.17,692.02,6.71,112835634.00,0,Total
2006,WN,Southwest Airlines Co.,12,8951.00,8951.00,4258255,0.00,358.00,0.00,25.00,0.00,1,Total
2006,US,US Airways Inc.,4351,1073.83,499333.00,421277984,150255.46,253.10,582.38,4.15,69868791.00,0,Total
2006,US,US Airways Inc.,704,39.65,5511.00,3261087,0.00,10.40,0.00,1.81,0.00,1,Total
2006,UA,United Air Lines Inc.,5320,1064.72,489770.00,538510385,180359.56,287.63,583.36,3.42,82965397.00,0,Total
2006,UA,United Air Lines Inc.,236,58.17,10238.00,9651845,0.00,3.39,0.00,2.34,0.00,1,Total
2006,TZ,ATA Airlines d/b/a ATA,275,645.83,19375.00,27915589,136369.37,211.27,625.33,2.91,4091081.00,0,Total
2006,TZ,ATA Airlines d/b/a ATA,103,9.87,227.00,278281,0.00,6.74,0.00,1.44,0.00,1,Total
2006,OO,SkyWest Airlines Inc.,2933,2043.00,535265.00,212150777,171962.12,319.55,536.85,6.41,45054076.00,0,Total
2006,OO,SkyWest Airlines Inc.,13,6422.00,12844.00,4406646,0.00,182.00,0.00,32.63,0.00,1,Total
2006,OH,Comair Inc.,2014,1549.85,271224.00,128488430,155348.64,320.95,480.25,4.80,27186012.00,0,Total
2006,OH,Comair Inc.,1167,39.51,6875.00,3227849,0.00,12.97,0.00,1.59,0.00,1,Total
2006,NW,Northwest Airlines Inc.,3771,1226.44,428026.00,328388724,163108.91,296.22,547.22,4.05,56925010.00,0,Total
2006,NW,Northwest Airlines Inc.,1681,15.41,4854.00,2574027,0.00,10.38,0.00,1.47,0.00,1,Total
2006,MQ,Envoy Air,3101,1970.62,530098.00,218352809,176068.14,328.68,533.18,5.98,47362331.00,0,Total
2006,MQ,Envoy Air,12,19990.00,19990.00,7881748,0.00,365.00,0.00,54.73,0.00,1,Total
2006,HA,Hawaiian Airlines Inc.,304,1996.92,51920.00,30514781,183541.54,328.85,556.07,6.13,4772080.00,0,Total
2006,HA,Hawaiian Airlines Inc.,11,253.00,253.00,161083,0.00,85.00,0.00,3.09,0.00,1,Total
2006,FL,AirTran Airways Corporation,1397,1855.94,235704.00,153648263,217698.59,326.87,665.96,5.67,27647721.00,0,Total
2006,FL,AirTran Airways Corporation,703,15.65,1941.00,1112280,0.00,9.04,0.00,1.76,0.00,1,Total
2006,F9,Frontier Airlines Inc.,633,1623.25,89279.00,78505407,228674.53,333.58,682.35,4.84,12577099.00,0,Total
2006,F9,Frontier Airlines Inc.,164,16.40,902.00,769781,0.00,6.84,0.00,2.03,0.00,1,Total
2006,EV,ExpressJet Airlines Inc.,1853,1675.22,266360.00,131732198,166623.82,330.42,502.78,5.06,26493187.00,0,Total
2006,EV,ExpressJet Airlines Inc.,1503,42.66,6783.00,3034927,0.00,24.40,0.00,1.77,0.00,1,Total
2006,DL,Delta Air Lines Inc.,5263,1038.31,498391.00,459160474,157409.81,272.80,541.90,3.51,75556708.00,0,Total
2006,DL,Delta Air Lines Inc.,2718,17.45,7695.00,5154079,0.00,12.73,0.00,1.33,0.00,1,Total
2006,CO,Continental Air Lines Inc.,4026,881.78,307740.00,350234964,161011.92,294.70,537.05,2.87,56193159.00,0,Total
2006,CO,Continental Air Lines Inc.,12,1649.00,1649.00,1447015,0.00,218.00,0.00,8.24,0.00,1,Total
2006,B6,JetBlue Airways,1303,1240.58,155073.00,183697602,230436.20,296.85,768.31,4.15,28804525.00,0,Total
2006,B6,JetBlue Airways,18,94.14,659.00,604394,0.00,13.43,0.00,4.89,0.00,1,Total
2006,AS,Alaska Airlines Inc.,1314,1353.22,156974.00,139851397,194018.97,315.81,610.44,4.30,22506200.00,0,Total
2006,AS,Alaska Airlines Inc.,731,21.50,2430.00,1758920,0.00,13.04,0.00,1.63,0.00,1,Total
2006,AQ,Aloha Airlines Inc.,167,1332.38,34642.00,14583957,96853.69,169.54,549.60,8.02,2518196.00,0,Total
2006,AQ,Aloha Airlines Inc.,66,32.39,745.00,197394,0.00,7.09,0.00,2.41,0.00,1,Total
2006,AA,American Airlines Inc.,8165,903.67,633470.00,683652489,151730.27,275.54,524.23,3.04,106362922.00,0,Total
2006,AA,American Airlines Inc.,12,10127.00,10127.00,9766525,0.00,362.00,0.00,28.16,0.00,1,Total
2007,YV,Mesa Airlines Inc.,1577,2036.51,283075.00,111211468,177529.76,317.86,555.31,6.37,24676636.00,0,Total
2007,YV,Mesa Airlines Inc.,1325,80.62,11287.00,4193547,0.00,39.91,0.00,1.92,0.00,1,Total
2007,XE,ExpressJet Airlines Inc.,3238,1536.13,423973.00,237237146,169392.11,330.29,511.13,4.63,46752221.00,0,Total
2007,XE,ExpressJet Airlines Inc.,13,5389.00,10778.00,5033740,0.00,157.50,0.00,30.85,0.00,1,Total
2007,WN,Southwest Airlines Co.,5966,1344.41,1158878.00,729938727,141319.80,201.69,698.88,6.68,121817666.00,0,Total
2007,WN,Southwest Airlines Co.,12,9993.00,9993.00,5326082,0.00,347.00,0.00,29.09,0.00,1,Total
2007,US,US Airways Inc.,4250,1139.96,476505.00,399516772,161714.15,272.07,582.53,4.08,67596513.00,0,Total
2007,US,US Airways Inc.,285,66.73,8942.00,5416113,0.00,6.81,0.00,2.53,0.00,1,Total
2007,UA,United Air Lines Inc.,5224,1039.29,478073.00,519017991,176046.07,284.38,581.85,3.40,80981190.00,0,Total
2007,UA,United Air Lines Inc.,296,57.35,11929.00,10854251,0.00,3.17,0.00,2.27,0.00,1,Total
2007,OO,SkyWest Airlines Inc.,3246,2062.53,583696.00,249614007,186689.82,329.06,565.88,6.28,52833218.00,0,Total
2007,OO,SkyWest Airlines Inc.,15,3546.50,14186.00,5040468,0.00,92.00,0.00,31.44,0.00,1,Total
2007,OH,Comair Inc.,1658,1371.56,224936.00,108261966,145987.95,282.79,513.44,4.82,23942024.00,0,Total
2007,OH,Comair Inc.,895,56.02,8851.00,4101314,0.00,11.18,0.00,1.74,0.00,1,Total
2007,NW,Northwest Airlines Inc.,3825,1145.67,406712.00,313706278,157011.48,287.13,547.54,3.86,55739074.00,0,Total
2007,NW,Northwest Airlines Inc.,1996,24.04,7814.00,4456112,0.00,15.24,0.00,1.54,0.00,1,Total
2007,MQ,Envoy Air,3089,1931.72,517702.00,215226675,175028.70,326.97,532.95,5.89,46907692.00,0,Total
2007,MQ,Envoy Air,12,22792.00,22792.00,8773745,0.00,362.00,0.00,62.91,0.00,1,Total
2007,HA,Hawaiian Airlines Inc.,342,1928.86,55937.00,35299160,188109.97,326.69,574.82,5.93,5455189.00,0,Total
2007,HA,Hawaiian Airlines Inc.,12,238.00,238.00,38074,0.00,63.00,0.00,3.43,0.00,1,Total
2007,FL,AirTran Airways Corporation,1611,1901.88,260557.00,180963150,231813.80,350.72,660.59,5.42,31758490.00,0,Total
2007,FL,AirTran Airways Corporation,857,18.99,2602.00,1683090,0.00,11.17,0.00,1.71,0.00,1,Total
2007,F9,Frontier Airlines Inc.,706,1570.35,97362.00,87149361,226527.13,329.53,684.12,4.74,14044682.00,0,Total
2007,F9,Frontier Airlines Inc.,182,6.63,398.00,317129,0.00,4.37,0.00,1.56,0.00,1,Total
2007,EV,ExpressJet Airlines Inc.,1905,1711.81,277314.00,132106272,166056.77,330.28,500.51,5.16,26901197.00,0,Total
2007,EV,ExpressJet Airlines Inc.,1569,55.40,8920.00,4240021,0.00,31.25,0.00,1.79,0.00,1,Total
2007,DL,Delta Air Lines Inc.,5075,1045.36,469368.00,443008040,163306.28,276.96,544.24,3.45,73324520.00,0,Total
2007,DL,Delta Air Lines Inc.,2324,15.24,6521.00,4847984,0.00,10.83,0.00,1.32,0.00,1,Total
2007,CO,Continental Air Lines Inc.,4094,896.92,320200.00,366859373,165480.78,293.20,551.48,2.92,59076637.00,0,Total
2007,CO,Continental Air Lines Inc.,12,2951.00,2951.00,2621173,0.00,256.00,0.00,10.96,0.00,1,Total
2007,B6,JetBlue Airways,1552,1341.00,187740.00,210523467,242702.38,316.96,761.11,4.22,33978333.00,0,Total
2007,B6,JetBlue Airways,126,32.54,3710.00,3228966,0.00,3.71,0.00,3.10,0.00,1,Total
2007,AS,Alaska Airlines Inc.,1335,1231.42,157622.00,141299674,178014.60,289.69,610.43,4.25,22785869.00,0,Total
2007,AS,Alaska Airlines Inc.,807,21.18,2563.00,1855858,0.00,12.93,0.00,1.62,0.00,1,Total
2007,AQ,Aloha Airlines Inc.,235,1702.67,45972.00,19696945,125814.07,219.74,545.28,7.83,3396980.00,0,Total
2007,AQ,Aloha Airlines Inc.,48,19.40,388.00,185130,0.00,6.15,0.00,2.41,0.00,1,Total
2007,AA,American Airlines Inc.,7932,915.21,615933.00,658021009,152943.24,278.49,523.97,3.05,102930798.00,0,Total
2007,AA,American Airlines Inc.,12,17924.00,17924.00,17084583,0.00,362.00,0.00,49.93,0.00,1,Total
2007,9E,Endeavor Air Inc.,1659,1792.23,250912.00,113393173,174870.78,344.84,506.18,5.19,24481909.00,0,Total
2007,9E,Endeavor Air Inc.,16,1587.80,7939.00,3511066,0.00,69.40,0.00,17.15,0.00,1,Total
2008,YV,Mesa Airlines Inc.,1450,1950.09,245711.00,96986502,173004.05,317.95,539.55,6.11,21798510.00,0,Total
2008,YV,Mesa Airlines Inc.,1140,73.75,9219.00,3347781,8.59,36.46,0.32,1.94,1074.00,1,Total
2008,XE,ExpressJet Airlines Inc.,3069,1325.52,364518.00,215287217,150729.87,304.02,489.98,4.31,41450714.00,0,Total
2008,XE,ExpressJet Airlines Inc.,57,1.15,62.00,36138,3.43,1.15,2.95,1.00,185.00,1,Total
2008,WN,Southwest Airlines Co.,6309,2154.65,1189365.00,756840555,230548.12,330.74,695.33,6.52,127262564.00,0,Total
2008,WN,Southwest Airlines Co.,781,5.42,2746.00,1483024,0.54,3.63,0.16,1.47,275.00,1,Total
2008,US,US Airways Inc.,4215,1198.41,447007.00,384276631,173156.50,304.52,557.27,3.83,64587376.00,0,Total
2008,US,US Airways Inc.,79,1.29,90.00,70416,4.76,1.20,3.76,1.04,333.00,1,Total
2008,UA,United Air Lines Inc.,5043,954.29,438974.00,475895169,161491.79,270.51,558.19,3.27,74286223.00,0,Total
2008,UA,United Air Lines Inc.,355,1.59,371.00,360521,0.41,1.59,0.27,1.00,96.00,1,Total
2008,OO,SkyWest Airlines Inc.,3320,1953.25,554723.00,239289236,177865.20,330.89,536.16,5.91,50513716.00,0,Total
2008,OO,SkyWest Airlines Inc.,2173,43.18,12220.00,4192521,7.58,21.94,0.35,1.88,2146.00,1,Total
2008,OH,Comair Inc.,1532,1395.18,191140.00,93271715,152022.25,308.68,488.49,4.49,20827048.00,0,Total
2008,OH,Comair Inc.,743,13.83,1867.00,887884,0.63,9.04,0.05,1.54,85.00,1,Total
2008,NW,Northwest Airlines Inc.,3382,1067.33,344746.00,277844318,149567.26,273.15,554.83,3.76,48310226.00,0,Total
2008,NW,Northwest Airlines Inc.,1138,10.45,2906.00,1591828,1.35,7.17,0.22,1.47,376.00,1,Total
2008,MQ,Envoy Air,2973,956.20,472362.00,194707043,86017.60,167.87,508.13,5.67,42492694.00,0,Total
2008,MQ,Envoy Air,497,13.50,3024.00,1109080,3.22,7.16,0.47,1.69,721.00,1,Total
2008,HA,Hawaiian Airlines Inc.,353,1914.25,61256.00,34562911,172719.34,299.16,572.55,6.31,5527019.00,0,Total
2008,HA,Hawaiian Airlines Inc.,6,1.17,7.00,3272,0.00,1.17,0.00,1.00,0.00,1,Total
2008,FL,AirTran Airways Corporation,1672,1827.10,259448.00,188830439,231172.13,349.10,661.19,5.23,32826443.00,0,Total
2008,FL,AirTran Airways Corporation,838,15.75,2236.00,1450210,0.28,9.44,0.03,1.71,40.00,1,Total
2008,F9,Frontier Airlines Inc.,707,1539.66,95459.00,84035990,221007.94,326.13,675.26,4.70,13702492.00,0,Total
2008,F9,Frontier Airlines Inc.,123,3.92,204.00,178991,0.90,2.90,0.38,1.38,47.00,1,Total
2008,EV,ExpressJet Airlines Inc.,1895,1700.92,275549.00,122307769,159402.20,325.89,485.96,5.19,25823157.00,0,Total
2008,EV,ExpressJet Airlines Inc.,1210,30.99,5020.00,2227812,4.25,18.30,0.17,1.67,688.00,1,Total
2008,DL,Delta Air Lines Inc.,4987,965.55,445118.00,412102226,150457.57,264.32,526.37,3.35,69360939.00,0,Total
2008,DL,Delta Air Lines Inc.,2264,15.28,6813.00,4374529,0.78,10.53,0.09,1.35,348.00,1,Total
2008,CO,Continental Air Lines Inc.,4079,781.84,294753.00,340690577,143704.05,263.43,531.77,2.82,54176426.00,0,Total
2008,CO,Continental Air Lines Inc.,41,1.05,43.00,47275,3.39,1.05,3.39,1.00,139.00,1,Total
2008,B6,JetBlue Airways,1687,1260.69,192886.00,212671088,224006.81,314.31,710.10,4.01,34273042.00,0,Total
2008,B6,JetBlue Airways,998,19.70,2994.00,2899030,0.45,13.61,0.05,1.43,69.00,1,Total
2008,AS,Alaska Airlines Inc.,1351,1182.25,148963.00,143071050,180559.29,293.97,610.45,4.02,22750471.00,0,Total
2008,AS,Alaska Airlines Inc.,618,17.25,2139.00,1670969,0.82,10.17,0.11,1.63,102.00,1,Total
2008,AQ,Aloha Airlines Inc.,39,387.90,7758.00,3295411,28620.80,49.40,573.99,7.93,572416.00,0,Total
2008,AQ,Aloha Airlines Inc.,13,1.82,20.00,13982,0.00,1.36,0.00,1.35,0.00,1,Total
2008,AA,American Airlines Inc.,7645,896.86,587445.00,620867393,149253.53,272.16,520.97,3.04,97761061.00,0,Total
2008,AA,American Airlines Inc.,805,3.67,1738.00,1703488,0.76,2.86,0.25,1.28,360.00,1,Total
2008,9E,Endeavor Air Inc.,1658,1645.85,255106.00,115084585,160439.10,312.75,511.93,5.25,24868061.00,0,Total
2008,9E,Endeavor Air Inc.,129,4.82,357.00,189115,11.31,3.11,5.11,1.25,837.00,1,Total
